qid,n_statements,n_sitelinks
Q1109958,14,6
Q111019958,6,1
Q11104064,20,8
Q11105963,6,2
Q11114321,16,1
Q11117691,3,1
Q11118080,16,2
Q111180995,3,3
Q11118950,11,2
Q111191399,13,1
Q11119506,24,5
Q11120895,2,1
Q11120914,14,2
Q11120928,13,6
Q11121065,2,1
Q111210820,5,1
Q111210877,6,1
Q111210916,1,1
Q111211223,6,1
Q11121666,2,2
Q11123140,10,2
Q11125769,22,6
Q11126045,3,2
Q111264779,7,0
Q1112719,30,13
Q111280140,11,0
Q111283337,3,0
Q111288660,17,0
Q111288806,2,1
Q11130046,4,2
Q1113257,5,4
Q11132891,18,6
Q11133655,12,4
Q111365899,3,1
Q111396827,21,1
Q111426993,8,1
Q11142776,13,5
Q11143661,10,3
Q111437120,5,6
Q11145014,7,7
Q1114524,19,5
Q111459978,3,5
Q1114905,14,12
Q111511213,11,1
Q11157200,7,3
Q11159475,12,4
Q1116411,4,11
Q111655323,5,0
Q111663619,6,0
Q111665505,10,1
Q111670030,1,0
Q111737431,1,1
Q11174733,11,4
Q11175647,7,1
Q11178625,17,3
Q11179331,2,9
Q11179848,2,1
Q111802091,6,1
Q11180760,9,4
Q111844893,3,0
Q111889383,8,0
Q111944091,2,1
Q111946247,2,1
Q111950047,1,2
Q11195007,4,3
Q111951841,1,3
Q111975758,7,2
Q111993506,6,1
Q111996140,7,0
Q112078019,3,3
Q112109289,1,1
Q112119754,15,3
Q112129615,7,1
Q112132236,1,1
Q11213563,14,4
Q112151473,16,0
Q11215731,23,3
Q112160990,6,1
Q112183807,3,2
Q11220651,20,8
Q11220751,13,3
Q11222105,25,5
Q112298533,2,0
Q112299527,2,0
Q112299536,2,0
Q112299557,2,0
Q112369714,2,0
Q112369870,2,0
Q112369995,2,0
Q11239393,14,2
Q1124866,27,27
Q1125040,25,29
Q1125049,23,27
Q112570378,2,3
Q1125985,5,22
Q112613825,5,0
Q1126715,30,31
Q11268538,5,1
Q112689783,10,0
Q112791132,13,1
Q11282723,2,3
Q11285253,2,2
Q112862914,8,1
Q112862926,6,0
Q1128685,14,9
Q1128881,17,11
Q1128887,11,9
Q1128942,23,26
Q112898266,13,1
Q11291639,15,8
Q11294144,37,3
Q11294655,3,1
Q11294873,6,2
Q1129489,40,25
Q11295221,8,3
Q11296172,2,1
Q11296639,5,2
Q112978,5,1
Q1129914,16,34
Q112994615,4,4
Q11300134,3,1
Q11302959,22,4
Q11310067,5,1
Q113107600,2,1
Q11312875,2,2
Q1131375,35,10
Q113145937,1,1
Q11315562,4,1
Q11316133,18,7
Q1131643,33,29
Q11319159,8,2
Q1131939,12,10
Q1132071,16,14
Q11321116,8,3
Q1132196,14,11
Q11322523,2,5
Q1132496,7,2
Q1132772,35,27
Q1132777,11,14
Q1133495,13,21
Q1133708,9,3
Q1133728,31,3
Q11337639,5,3
Q1133783,33,4
Q113380858,4,1
Q1133866,12,3
Q1133873,14,8
Q1133958,67,13
Q1133969,19,3
Q113450515,2,1
Q113455761,9,0
Q113493047,4,1
Q113506042,2,1
Q11354363,7,4
Q113549334,5,2
Q113585989,5,2
Q1136019,12,7
Q1136130,26,24
Q1136184,2,4
Q1136201,25,28
Q1136276,20,12
Q113680608,18,0
Q113686277,2,1
Q11369576,7,3
Q113731265,3,1
Q11378645,11,2
Q11378910,5,3
Q113797606,7,0
Q113809785,14,0
Q11381055,17,4
Q11381130,15,2
Q113836304,1,1
Q113838866,1,1
Q113839985,1,1
Q1138506,33,30
Q11387080,14,5
Q1139234,40,24
Q1139448,17,26
Q1139470,34,24
Q113960740,3,3
Q1139675,4,1
Q11398334,11,3
Q11398348,9,3
Q11398350,8,2
Q11398358,6,3
Q11398367,11,3
Q113991131,8,2
Q113993352,2,1
Q113993833,7,5
Q1139977,3,2
Q1140206,5,1
Q1140208,5,1
Q1140396,24,27
Q114071349,4,1
Q11410632,6,3
Q11412100,6,2
Q1141300,29,24
Q11416687,5,3
Q11418345,8,2
Q11418529,7,3
Q1142062,12,13
Q114245762,4,1
Q1142755,11,4
Q114280,66,31
Q1142802,19,17
Q114289252,7,0
Q114295340,6,0
Q114295919,9,0
Q114304828,8,0
Q114309574,13,1
Q114309871,8,0
Q114309884,6,0
Q114344707,6,0
Q114356067,6,0
Q114356073,6,0
Q1144150,14,33
Q1144291,13,18
Q11448938,7,3
Q11452952,9,2
Q1145713,3,4
Q1145956,29,23
Q1146076,19,16
Q1146102,5,1
Q114614325,6,0
Q11464858,12,3
Q1146797,6,13
Q114685373,3,3
Q114694194,6,0
Q1146978,19,30
Q1147021,14,17
Q1147081,9,6
Q1147537,17,8
Q11477177,17,2
Q11479739,11,2
Q114839854,2,1
Q1148501,11,6
Q11486330,6,3
Q114876472,3,0
Q11487673,12,2
Q11487697,7,3
Q11487701,8,2
Q11488053,9,4
Q1148820,10,2
Q114905861,5,1
Q114918925,1,2
Q11495362,6,2
Q1149595,8,5
Q114982,20,7
Q11500143,7,2
Q1150270,7,14
Q115114057,8,1
Q115126101,4,0
Q115179295,15,1
Q11522430,8,2
Q11522485,9,3
Q11522537,7,2
Q11522554,10,3
Q1152356,64,26
Q11523590,18,5
Q115288317,3,0
Q1153011,15,5
Q115325584,3,1
Q11532921,3,6
Q115379640,8,0
Q11541081,7,2
Q1154304,17,8
Q1154473,33,15
Q115449,34,32
Q11544943,8,1
Q115484947,7,0
Q115518756,1,1
Q115527299,4,1
Q115536350,3,0
Q115575312,7,0
Q115575522,7,0
Q115575542,7,0
Q115596582,2,5
Q115617704,1,1
Q115617705,3,1
Q115623962,5,0
Q115645442,6,6
Q115663234,3,1
Q115663261,6,1
Q1157063,12,18
Q11571706,11,2
Q11572883,14,4
Q11572927,7,4
Q11572928,11,4
Q11572945,15,3
Q11573000,3,2
Q11573020,26,4
Q11573021,12,3
Q11573040,6,2
Q11573049,8,2
Q11573054,12,4
Q11573080,6,2
Q11573089,6,2
Q11573116,16,4
Q11573152,7,2
Q11573158,8,3
Q11573205,16,3
Q11573232,11,3
Q11573250,9,3
Q11574000,4,3
Q11574212,8,3
Q11574213,9,3
Q11574224,6,2
Q1157529,10,10
Q11576781,9,4
Q11578023,6,2
Q115795580,6,0
Q11580720,2,2
Q11580845,2,3
Q115818758,1,1
Q115821381,1,2
Q1158255,11,2
Q1158259,11,3
Q1158552,18,15
Q1158563,14,6
Q115869429,4,0
Q1158737,9,3
Q11588504,3,2
Q1158901,13,9
Q11590432,15,2
Q115925089,5,0
Q115928055,11,0
Q115941535,5,1
Q1159574,35,15
Q1159576,34,8
Q1159580,18,8
Q11596071,8,3
Q1159616,31,3
Q1159618,37,6
Q1159623,42,11
Q11596349,7,3
Q11597740,15,5
Q1159894,9,9
Q116012216,5,0
Q116030691,1,1
